,Due to Other Causes,42
,Adultery,0
,Property Disputes,3
,Electoral Gain,0
,Gang Rivalry,0
,Love Intrigue,0
,Professional,1
,Sudden Quarrel,10
,Sub Total,62
5,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",
,Custodial Rape,1
,Attempt to Commit,10
,By a Gang,16
,By Parents,0
,By Hospital Staff,2
,By Husband During Sepearation,3
,By Neighbours,40
,By Relatives,44
,In Jail Custody,0
,In Remand Home,0
,InCest,0
,Known Person,466
,Unknown Person,9
,Due to Other Causes,151
,On Minor,0
,Sub Total,742
6,"KIDNAPPING AND ABDUCTION (Sec.360, 361,
363 to 369 IPC)",
,Missing - Boy,2543
,Missing - Girl,968
,For Ransom - of Children,11
,For Ransom - of Cildren for Begging,1
,For Ransom - of Women,10
,For Ransom - of Girls for Immoral Purpose,0
,For Ransom - of Others,69
,Procuration of Minor Girls - For Prostitution,0
,Procuration of Minor Girls - Importring of Girl,0
,Procuration of Minor Girls - For other Purpose,16
,Espionage,0
,Intent to Steal From Child,0
,Murder (Homicide),1
,Obtain Signature Forcibly,0
,Recovering Loan,4
,Settling any Disputes,5
,Unnatural Lust / Illicit Intercourse,0
,Wrongful Confinement,17
,For Exporting,0
,From Lawful Guardianship,5
,For Camel Racing Etc.,0
,To Compel For Marriage,12
,For Slavery,0
,For Stealing From its Person,0
,Others,435
,Sub Total,4097
7,DACOITY (Sec. 395 to 398 IPC ),
,At ATM,0
,At Residential Premises,26
,On Highways,33
,In Trains,0
,At Banks,0
,At Commercial Places / Establishments,18
,On Other Roads,32
,In Other Places,45
,River & Sea,1
,Sub Total,155
7a,Preparation And Assembly for Dacoity,116
8,Robbery (Sec.392 to 394 IPC),
,At ATM,0
,At Residential Premises,134
,On Highways,88
,In Trains,8
,At Banks,2
,At Commercial Places / Establishments,65
,In Other Places,650
,Chain Snatching,615
,Attempt to Commit,49
,Sub Total,1611
9,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",
,At Residential Premises,2645
,On Highways,2
,In Trains,0
,At Banks,37
,At Commercial Places / Establishments,747
,In Other Places,549
,Temple Theft,342
,Sub Total,4322
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",
,At Residential Premises,999
,On Highways,0
,In Trains,1
,At Banks,3
,At Commercial Places / Establishments,31
,In Other Places,71
,Temple Theft,23
,Sub Total,1128
,Total Burglary (Burglary Day + Burglary Night),5450
11,THEFT (Sec.379 to 389 IPC),
,Attempt to commit,47
,Of Automobiles - Of Tractors,86
,In Running Bus,72
,Of Snatching,235
,At ATM,16
,Of Sand,1259
,Government Office,12
,Of Mines,28
,Communication And Elec. Wire,276
,Of Cattle,501
,Of Cycle,93
,Of Automobiles - Of Lorries/Trucks,85
,Of Automobiles - Of Buses,10
,Of Automobiles - Of Cars / Jeeps,259
,Of Automobiles - Of Two Wheelers,10874
,Of Automobies - of Three Wheelers,296
,Of Accessories of Motor Vehicle,315
,Govt. Vehicle,3
,"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",1292
,Of Fire Arms,10
,Of Explosives,0
,Of Cultural - Idols,7
,Of Cultural - Painting,2
,Of Cultrual - Others,240
,Cash,583
,Jewellery,1659
,Other Items Not Included Above,1804
,In Running Train,64
,Extortion,271
,House Theft,1922
,Servant Theft,528
,Sub Total,22849
12,RIOTS (Sec.141 to 153 IPC),
,Land Dispute,949
,Employee - Govt.,2
,Labour - Private Sector,3
,Labour - Public Sector,1
,Linguistic,2
,Political,24
,Regional,5
,Sectarian,0
,Students,6
,Tribal,0
,Due to Village Disputes,24
,Communal,21
,Industrial,3
,Caste,7
,Agrarian,1
,Others,2381
,Sub Total,3429
13,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",111
15,CRIMINAL BREACH OF TRUST,569
16,CHEATING (Sec.417 to 420 IPC),6582
17,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",
,"Stock Share, Debentrue Certificate",0
,Usage of Counterfeit Stamp,0
,Of Coins (Sec 231 to 254 IPC),0
,Of Stamps (Sec.255 to 263(A) IPC),0
,Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),30
,Of Others,2
,Sub Total,32
18,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",
,Forgery,403
,Organised (Racket),1
,Forgery of Passport,1
,Other Forgery,145
,Sub Total,550
19,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",
,Acid Attack (326(a)),8
,Attempt to Acid Attack (326(b)),1
,Grievous Hurt,1225
,Simple Hurt,15815
,Custodial,2
,Sub Total,17051
20,"ADULTERATION (Sec. 272, 273 to 276 IPC)",
,Attempt to Commit,0
,Alcoholic Drink (Liquor),4
,Cement & Chemical/Fertiliser,0
,Cosmetics,0
,Diesel,0
,Drug/Medicine,1
,Edible Oil,0
,Food Grain,0
,Kerosene,0
,Life Saving Drug,0
,Mobile Oil,0
,Petrol,0
,Petroleum Product,0
,Soft Drinks,0
,Spices,1
,Others,5
,Sub Total,11
21,AFFRAY (Sec. 160 IPC ),496
22,"ARSON (Sec. 435, 436, 438 IPC )",
,Agricultural Produce,66
,Attemp to Commit,2
,Boat / Ship,0
,Dwelling House,15
,Educational Institution,2
,Govt. Property,9
,Industrial Establishment,1
,Place of worship,0
,Public Place,12
,Railway Property,0
,Vital Installation,0
,Warehouse (Godown),3
,Others,127
,Sub Total,237
23,"ASSAULT (Sec 356, 357 IPC)",
,Attempt To Commit,3
,On Contractor,1
,On Domestic Servant,0
,On Labourer,1
,On Man (General),17
,On Man (SC),1
,On Man (ST),0
,On Manager/Executive (Other Than Public Servant),0
,"On Member of Clergy (Christian, Budhist, Jain, Sikh)",0
,Member of Legislative Assembly / Council (MLA/MLC),0
,On Member of Parliament (MP),0
,On other Dignitaries /Public Figures,2
,On Press,1
,On Professional,1
,On Public Servant,1
,On Student,0
,On Teacher,0
,On Women (General),5
,On Woman (SC),0
,On Woman (ST),0
,Sub Total,33
24,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),
,Attempt to Commit,3
,Caste Issue,13
,Communal Issue,88
,Linguistic Issue,0
,Political Issue,13
,Racial/Ethnic Issue,0
,Regional Issue,26
,Religious Issue,130
,Sectarian Issue,0
,Others,73
,Sub Total,346
25,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",
,Conspiracy To Wage War,0
,Related to Substantive Offence,3
,Others,20
,Sub Total,23
26,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC),2579
27,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",
,Attempt to Commit,0
,Bank,4
,Business Establishment,0
,Charitable Organisation,0
,Chitfund Organisation,0
,Co-operative Organisation,0
,Commercial Establishment/Shop,0
,Customs Department,0
,Excise Department,0
,Financial Institution,1
,Income Tax Department,0
,Other Government Organisation,2
,Postal Department,0
,Public Sector Undertakings,0
,Railway Department,0
,Revenue Department,0
,Sales Tax Department,0
,Social Organisation (Aided) (N),0
,Transport Authority,0
,Trust - Other than religious,0
,Trust - Religious,0
,Others,10
,Sub Total,17
28,CRIMINAL TRESPASS (Sec.447 to 452 IPC),
,Attempt to Commit,12
,Club,2
,Hostel,12
,Hotel,16
,House,694
,Land,1500
,Office,53
,Prohibited Places,22
,Religious Place,12
,Restricted Area,14
,Others,230
,Sub Total,2567
29,CRUELTY BY HUSBAND (Sec. 498(A) IPC),
,Husband,1085
,Husband And Relative(S) in Law,1400
,Relative(S) in Law,25
,Dowry Harassment,462
,Prevention of Gaming,3
,Sub Total,2975
30,DOWRY DEATHS (Sec.304(B) IPC),
,By Husband,6
,By Husband And Relatives In Law,40
,By Relatives in Law,0
,By Burning,1
,By Hanging,56
,By Other Means,6
,Sub Total,109
31,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),
,Electrocution,21
,Adulterated Food/Drug,0
,Accident by Air,1
,Boad Accident,0
,Bridge/Dam Collapse,0
,Building Collapse,5
,Caused By Animal,4
,Death Due to Other Cause,88
,Electrocution Accident,54
,Explosion Accident,1
,Fire accident,4
,Gas Leakage Accident,3
,Improper Infrastucture In Construction,83
,Improper Medical Treatment,4
,In Custody of Public Servant,0
,In Jail/Judicial Custody,1
,In Police Custody,0
,Industrial Accident (Factory),6
,Inflammable Substance,0
,Mine Accident,1
,Poisonous Substance,1
,Quarry Accident,0
,Spurious Liquor (Hooch) Accident,1
,Railway Accident,2
,Others,89
,Sub Total,369
32,MOTOR VEHICLE ACCIDENTS FATAL(Sec.304(A) IPC),
,National Highways,3914
,State Highways,3167
,Other Roads,4222
,Other Places,177
,Sub Total,11480
33,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",
,National Highways,10325
,State Highways,7111
,Other Roads,13731
,Other Places,421
,Sub Total,31588
34,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",
,Child,21
,Woman,6
,Women and Child,3
,Sub Total,30
35,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",
,Air Force,1
,Army,0
,Navy,0
,Sub Total,1
36,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",
,From Jail Custody,4
,From Police Custody,24
,Others,6
,Sub Total,34
37,"IMPERSONATION (Sec.170, 171 IPC)",
,Attempt to Commit,2
,Non-Uniformed Authority,4
,Uniformed Authority,0
,Sub Total,6
38,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC)",426
39,MOLESTATION (Sec.354 IPC),
,Attempt to Commit,75
,Private Place,1068
,Public Conveyance,10
,Public Place,2304
,Other Places,2854
,Sub Total,6311
40,POISONING-PROFESSIONAL (Sec. 328 IPC),
,Attempt to Commit,6
,Fatal,2
,Non Fatal,5
,Sub Total,13
41,PORNOGRAPHY (Sec.292 to 294 IPC),
,Advertisement,0
,Audio Tape,0
,Book,0
,Computer Software,0
,Figures,0
,Film (Blue),0
,Painting,0
,Pamphlet,0
,Paper,0
,Photography,0
,Poster,0
,Video Film(Blue),1
,Others,2
,Sub Total,3
42,PUBLIC JUSTICE (Sec.213 to 215 IPC),3
43,PUBLIC NUISANCE (Sec.291 and 510 IPC),121
44,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC)",3286
45,"OFFENCES AGAINST PUBLIC SERVANTS (Public
servant is a victim) (Sec 182-188, 332, 333,
353 IPC)",
,Attempt to Commit,15
,Defence Personnel,4
,Jail Personnel,10
,Judicial Official,20
,Minister,1
,MLA,0
,MP,1
,Nationalised Bank Personnel,1
,Other Elected Member,4
,Other Enforcement Official,7
,Other Govt. Official,411
,Para Military Personnel,3
,Police Personnel,384
,Public Sector Undertaking Official,113
,Sub Total,974
46,"OFFENCES BY PUBLIC SERVANTS (EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC)",
,Defence Personnel,0
,Jail Personnel,1
,Judicial Official,0
,Minister,0
,MLA,0
,MP,0
,Nationalised Bank Personnel,0
,Other Elected Member,0
,Other Enforcement Official,0
,Other Govt. Official,4
,Para Military Personnel,0
,Police Personnel,4
,Public Sector Undertaking Official,0
,Others,1
,Sub Total,10
47,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338
except 283 IPC)",
,Death Causeed By Electric Shock,85
,Animal -Related,67
,Boat/Vessel - Related,7
,Explosive/Explosive Substances - Related,70
,Inflammable Substance- Related,30
,Machinery - Related,132
,Poisonous Substance - Related,7
,Other - Related,1550
,Human - Related,809
,Sub Total,2757
48,"RECEIVING OF STOLEN PROPERTY (Sec.411 to
414 IPC)",1
49,SEDITION (Sec. 124A IPC),
,Attempt to Commit,0
,By Foreigner,0
,By National,0
,By National And Foreigner,0
,Sub Total,0
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",
,Attempt to Commit,2
,Office,10
,Public Conveyance,2
,Public Place,71
,Other Places,95
,Sub Total,180
51,"SUICIDE (Sec.305, 306, 309 IPC)",
,Dowry,4
,Abetment of Suicide,330
,Other Reasons,277
,Attempt to Commit suicide,93
,Sub Total,704
52,UNNATURAL SEX (Sec.377 IPC),
,Abetment,0
,Animal,0
,Attempt,0
,Major - Man,5
,Major - Woman,1
,Minor - Boy,0
,Minor - Girl,0
,Sub Total,6
53,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),
,Attempt to Commit,23
,To Extort Confession,7
,To Extort Property,23
,To settle Dispute,15
,Others,363
,Sub Total,431
54,"INFANTICIDE (Sec.315, 316 IPC)",
,Male,1
,Female,1
,Sub Total,2
55,OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),40
56,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",0
57,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),
,Documents,1
,Property,1
,Sub Total,2
58,DEFAMATION (Sec.500 to 502 IPC),
,Persons,6
,Printed Matter,3
,Others,2
,Sub Total,11
59,ELECTION(Sec.171(E) to 171(1) IPC),
,Assembly,16
,Parliament,153
,Other Elected Bodies,14
,Sub Total,183
60,"SLAVERY (Sec.370, 371, 374 IPC)",
,Man,1
,Woman,0
,Boy,3
,Girl,0
,Sub Total,4
61,Attempting to commit offences (Sec.511 IPC),
,Attempting to commit offences,224
,Sub Total,224
62,ILLEGAL DETENTION (Sec.342 IPC),0
63,FALSE EVIDENCE (Sec.191 to 205 IPC),8
64,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),
,Boy,30
,Girl,36
,Sub Total,66
65,OF ABETMENT (Sec.107 to 120 IPC),9
66,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",
,174 A,110
,229 A,566
,Sub Total,676
67,Concealment of birth by secret disposal of Child,
,Girl,15
,Boy,33
,Sub Total,48
68,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,15
69,Disobedience to Order Promulgated by Public/Servant,
,By Others,13
,By Private Institution,13
,By Govt. Institution,1
,Sub Total,27
70,Human Trafficking,
,Eunuch,3
,Men,1
,Boy,0
,Women,4
,Girl,7
,Sub Total,15
71,Aadhaar Act,
,Impersonation,1
,Offence by Company,0
,Offence by individual,2
,Sub Total,3
72,Giving false information respecting an offence com,
,Giving false information respecting an offence committed,3
,Sub Total,3
,Total Cognizable Crime Under IPC,137067
