31,INDIAN LUNACY ACT,0
32,INDIAN ELECTRICITY ACT,8
33,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",1139
34,KARNATAKA STATE LOCAL ACTS,
,Prevention of Insult to National Hounours Act 1971,10
,"Prevention of violence against Doctors, Medical professionals and Medical institutions",13
,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0
,Karnataka Cow Slaughters Act,236
,Banning of Unregulated Deposit Schemes Act,19
,"Motor Spirit and High Speed Diesel (Regulation of supply, Distribution and Prevention of Malpractice)",0
,Karnataka Epidemic Deseases Act 2020,0
,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,204
,Disaster Management Act 2005,1
,Karnataka Excise Act 1965,8278
,Karnataka Forest Act 1963,65
,Karnataka Education Act 1983 As Amended Upto Date,7
,Karnataka Kerosene Restriction Unuse Act 1956,0
,Karnataka University Act,0
,Karnataka Corruption Act,1
,Karnataka Medical Registration Act 1965,1
,Karnataka Land & Revenue Act 1964 & 2007,33
,Karnataka Kerosene Dealers License Order 1969,0
,Karnataka Society Registration Act,0
,Karnataka Minor Mineral Consistent Rule 1994,35
,Bangalore Development Authority Act,0
,Karnataka Prohibition of Beggery Act 1975,30
,Karnataka Municipalities Act 1964,0
,Karnataka Irrigation Act 1963,2
,Karnataka Fire Force act 1964,5
,Karnataka Consumer Protection Act 1986,0
,Karnataka Lottery Act,54
,Karnataka Weight & Measurement Act,0
,Karnataka Agriculture Marketing Regulation Act,0
,Karnataka Revenue Act,2
,Karnataka Mining Act,0
,Karnataka Betting Tax Act,0
,Karnataka Panchayat Raj Act,0
,Karnataka Open Place Disfigurement Act 1951,617
,Karnataka Right To Information Act 2000 & 2008,0
,Karnataka Urban Development Act 1987,0
,Karnataka Town & City Planning Act 1961,0
,Karnataka Race Betting Act,0
,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1
,Cooperative Society Act,0
,Karnataka Entertainment Tax Act 1958,2
,Karnataka Land Acquisition (Prohibition) Act 2007,0
,Karnataka Money Lender Act 1961,17
,Karnataka Stamp Act 1957,0
,Karnataka Prisoners Act 1963 & 1974,66
,Karnataka Private Medical Institution Act 2007,2
,MMRD (Mines & Minerals Regulation Development Act 1957,85
,Karnataka Treasure Trove Act 1962,0
,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,17
,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0
,Other Local Acts,141
,Sub Total,9944
35,CYBER CRIME,
,CSAM (Child Pornography). Cyber Tip Line,6
,Business Fraud,49
,Matrimony Fraud,29
,Investment Fraud (Trading & Share Trading),930
,Fake Customer Care,109
,ATM Fraud,3
,Digital Arrest,455
,AEPS (Aadhaar),7
,Others,490
,"Information Technology Act 2000, 2009",16937
,Online Money Transfer,337
,Credit Card Fraud,359
,Loan App,99
,"Ransomeware Attack, Installing Spyware & Troman, Using Other Malware & Viruses to degital serv",1
,"Gifts, iPhone & Lottery Fraud",65
,Deep Fake/Deep Nudes,6
,"Investment Fraud (Part Time Job, Task, Review)",868
,Card Skimming,0
,Job Fraud,238
,Hacking of Accounts & Ids,83
,Phishing (Taking Password & Information),23
,Email Spoofing / Fraud,9
,SIM card Swapping / SIM Jacking / SIM Cloning,8
,Social Media Cases Instagram/Facebook/Whatsapp/X /Telegram,157
,"Crypto Currency, Bitcoin, etc.",28
,Remote Access Fraud (Any Desk/ Team Viewer),2
,OLX Fraud,50
,Data Theft,17
,Fedex,248
,"Otp Frauds (KYC Update, Apk Link)",325
,Sextortion and Revenge Porn,20
,Advertising Frauds,23
,Sub Total,21981
,NATIONAL SECURITY ACT,0
36,POCSO,
,Custodial Rape,0
,Gang Rape,1
,Rape with Murder,7
,Rape,2940
,Others,990
,Sub Total,3938
,Total (Item 1 to 36),61496
